Site,Report Time,Grade,Available Headers
http://facebook.com,"Sat, 29 Apr 2023 13:04:54 GMT",D,"['X-Content-Type-Options', 'Strict-Transport-Security']"
https://www.linkedin.com/,"Sat, 29 Apr 2023 13:04:54 GMT",B,"['Content-Security-Policy', 'X-Frame-Options', 'X-Content-Type-Options', 'Strict-Transport-Security']"
https://securityheaders.com/,"Sat, 29 Apr 2023 13:04:56 GMT",A,"['Content-Security-Policy', 'X-Frame-Options', 'Referrer-Policy', 'X-Content-Type-Options', 'Permissions-Policy', 'Strict-Transport-Security']"
https://amazon.com,"Sat, 29 Apr 2023 13:04:57 GMT",D,['Strict-Transport-Security']
http://ynet.co.il,"Sat, 29 Apr 2023 13:04:58 GMT",D,['X-Frame-Options']
http://gov.il,"Sat, 29 Apr 2023 13:04:58 GMT",C,"['X-Frame-Options', 'X-Content-Type-Options', 'Strict-Transport-Security']"
https://www.wikipedia.org/,"Sat, 29 Apr 2023 08:43:39 GMT",D,['Strict-Transport-Security']
https://www.netflix.com,"Sat, 29 Apr 2023 13:04:59 GMT",D,"['X-Content-Type-Options', 'Strict-Transport-Security']"
https://moodle.tau.ac.il/,"Sat, 29 Apr 2023 13:05:00 GMT",D,"['X-Frame-Options', 'Strict-Transport-Security']"
https://www.walla.co.il/,"Sat, 29 Apr 2023 13:05:00 GMT",F,[]
https://github.com/,"Sat, 29 Apr 2023 13:04:51 GMT",B,"['Content-Security-Policy', 'Referrer-Policy', 'X-Content-Type-Options', 'Strict-Transport-Security']"
https://www.instagram.com/,"Sat, 29 Apr 2023 13:05:01 GMT",D,"['X-Content-Type-Options', 'Strict-Transport-Security']"
https://www.google.com,"Sat, 29 Apr 2023 13:05:01 GMT",D,['X-Frame-Options']
https://stackoverflow.com/,"Sat, 29 Apr 2023 13:05:02 GMT",C,"['Content-Security-Policy', 'X-Frame-Options', 'Strict-Transport-Security']"
https://web.whatsapp.com/,"Sat, 29 Apr 2023 13:05:02 GMT",D,"['X-Content-Type-Options', 'Strict-Transport-Security']"
